"state_code","su","mh","state","population","st","year"
"AK",1.23400204491767,1.23400204491767,"Alaska",737438,2,2018
"AL",0.270056226933976,0.362120849752377,"Alabama",4887871,1,2018
"AR",0.47779814687316,0.75319568986255,"Arkansas",3013825,5,2018
"AZ",0.567512674217328,0.508948712750183,"Arizona",7171646,4,2018
"CA",0.379704803531204,0.215132348738385,"California",39557045,6,2018
"CO",0.70932395808387,0.31954693161204,"Colorado",5695564,8,2018
"CT",0.615786814604784,0.635380031433118,"Connecticut",3572665,9,2018
"DC",0.341658896299407,0.498252557103302,"District of Columbia",702455,11,2018
"DE",0.413577330172224,0.372219597155002,"Delaware",967171,10,2018
"FL",0.340855872193133,0.226298251235661,"Florida",21299325,12,2018
"GA",0.315605103866875,0.20818529441821,"Georgia",10519475,13,2018
"HI",1.18268964745289,0.267513134542915,"Hawaii",1420491,15,2018
"IA",0.529126513515697,0.446747535363553,"Iowa",3156145,19,2018
"ID",0.758176909465696,0.72397343986574,"Idaho",1754208,16,2018
"IL",0.532921855918023,0.285690067090074,"Illinois",12741080,17,2018
"IN",0.549920366151326,0.430372460466255,"Indiana",6691878,18,2018
"KS",0.61480231014544,0.415592623059208,"Kansas",2911505,20,2018
"KY",0.935457463316864,0.481156350749104,"Kentucky",4468402,21,2018
"LA",0.311160267280232,0.390559783758636,"Louisiana",4659978,22,2018
"MA",0.599813188617052,0.44189135876377,"Massachusetts",6902149,25,2018
"MD",0.683467274163712,0.408756456945368,"Maryland",6042718,24,2018
"ME",1.35235698638079,1.34488540082068,"Maine",1338404,23,2018
"MI",0.465190030127307,0.353144259429977,"Michigan",9995915,26,2018
"MN",0.673655215775508,0.418806814040329,"Minnesota",5611179,27,2018
"MO",0.445608649182267,0.34440815010058,"Missouri",6126452,29,2018
"MS",0.328140015335523,0.572570843085454,"Mississippi",2986530,28,2018
"MT",0.677771449819026,0.781319865763599,"Montana",1062305,30,2018
"NC",0.494047355353913,0.276396863521585,"North Carolina",10383620,37,2018
"ND",1.02621181801317,0.447323100159589,"North Dakota",760077,38,2018
"NE",0.642730818113398,0.704930574705018,"Nebraska",1929268,31,2018
"NH",0.530794171290228,0.42758419353935,"New Hampshire",1356458,33,2018
"NJ",0.414210216736338,0.35134904563272,"New Jersey",8908520,34,2018
"NM",0.668121262100153,0.310199157403643,"New Mexico",2095428,35,2018
"NV",0.266939802108627,0.158186549397705,"Nevada",3034392,32,2018
"NY",0.45951816399057,0.432397381483332,"New York",19542209,36,2018
"OH",0.396939391974399,0.481631201899971,"Ohio",11689442,39,2018
"OK",0.507217836619555,0.370269020732275,"Oklahoma",3943079,40,2018
"OR",0.54644639229649,0.39134152112063,"Oregon",4190713,41,2018
"PA",0.451313572357746,0.438039643758989,"Pennsylvania",12807060,42,2018
"PR",NA,NA,NA,NA,NA,2018
"RI",0.529643483730014,0.529643483730014,"Rhode Island",1057315,44,2018
"SC",0.22422728621846,0.206525132043318,"South Carolina",5084127,45,2018
"SD",0.668756057059627,0.555407572812233,"South Dakota",882235,46,2018
"TN",0.32643969506692,0.409157445853108,"Tennessee",6770010,47,2018
"TX",0.174901648308671,0.11741405474108,"Texas",28701845,48,2018
"UT",0.850968253189945,0.477681064058296,"Utah",3161105,49,2018
"VA",0.271200449417888,0.289984896130815,"Virginia",8517685,51,2018
"VT",0.734473470339247,1.16557746379924,"Vermont",626299,50,2018
"WA",0.590530988213134,0.472424790570507,"Washington",7535591,53,2018
"WI",0.460990565518456,0.69664619042901,"Wisconsin",5813568,55,2018
"WV",0.598062278218572,0.670051256152289,"West Virginia",1805832,54,2018
"WY",0.917372437631656,0.830827868043764,"Wyoming",577737,56,2018
"ZZ",NA,NA,NA,NA,NA,2018
